Well	Content	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data
	Time	0 min 	4 min 15 s	8 min 30 s	12 min 45 s	17 min 	21 min 15 s	25 min 30 s	29 min 44 s	33 min 59 s	38 min 14 s	42 min 29 s	46 min 44 s	50 min 58 s	55 min 13 s	59 min 28 s	63 min 43 s	67 min 58 s	72 min 13 s	76 min 27 s	80 min 42 s	84 min 58 s	89 min 13 s	93 min 28 s	97 min 44 s	101 min 58 s	106 min 14 s	110 min 29 s	114 min 43 s	118 min 58 s	123 min 13 s	127 min 27 s	131 min 42 s	135 min 57 s	140 min 12 s	144 min 26 s	148 min 41 s	152 min 56 s	157 min 11 s	161 min 25 s	165 min 40 s	169 min 54 s	174 min 9 s	178 min 24 s	182 min 38 s	186 min 53 s	191 min 8 s	195 min 22 s	199 min 37 s	203 min 52 s	208 min 6 s
D03	Sample X39	1455621	1521982	1554681	1559746	1541306	1471367	1432693	1313340	1211153	1089677	963397	790672	618551	477127	441433	388337	419307	401507	399335	356847	371818	362308	351400	368852	345306	357702	351088	349282	326432	360407	369952	384143	375740	377017	381276	355363	360742	357636	356320	358702	334791	357203	333725	347408	340220	327111	335292	336685	337332	338570
D04	Sample X40	1447667	1524081	1557113	1565526	1545465	1521598	1482495	1410610	1332681	1260525	1147597	1044851	894226	759811	659177	602606	555380	528081	508472	499523	449617	448421	411510	388650	370648	357643	356543	360040	369776	379915	369862	357753	345202	372048	334925	388746	374701	383521	379462	376995	365777	355092	341925	391633	379981	372978	378797	389928	373222	365567
D05	Sample X41	1358086	1468318	1528340	1559308	1561001	1528083	1477347	1399893	1295035	1180090	1058105	851725	687205	486525	284292	157717	117738	96927	83198	75418	69640	65122	65138	59312	56702	54537	54045	52411	53320	50096	50302	47486	47961	45461	44237	44962	43286	41842	41908	41537	41126	43071	39885	39868	38565	37692	37826	37128	36827	36968
D06	Sample X42	1343537	1439541	1502431	1555957	1559026	1537285	1495908	1429507	1340390	1208202	1098406	936455	740901	563448	325800	178127	127093	100832	88565	76562	70690	65906	62872	60816	56867	55618	53371	52440	49623	48478	46673	45618	44876	44970	42212	45263	41802	41428	41387	39536	41570	39700	38421	38113	38346	37053	38210	37758	36071	36892
D07	Sample X43	1347996	1465590	1534652	1563853	1561610	1527165	1485406	1411101	1322332	1209311	1062357	889927	723102	508352	269003	167458	124575	104285	90680	80073	73138	68576	64043	61551	58971	57091	56648	53926	53181	49666	49648	48283	45931	44463	43586	42332	42233	42345	42888	40446	40762	40703	45091	38893	39121	37526	36562	41386	36371	36382
D08	Sample X44	1374660	1480680	1524806	1563293	1560603	1508283	1451902	1367248	1235586	1123620	981730	799465	606652	384940	207710	129141	98067	83657	71772	67787	66721	58226	56070	55290	54682	54100	49213	50068	46142	44618	44913	42458	43913	44755	38406	39725	37067	37998	37080	36331	35061	34815	35521	34311	34181	34552	33345	31923	31383	31510
D09	Sample X45	1338545	1452318	1519001	1555475	1553468	1531085	1476153	1406021	1295306	1163738	1021587	846502	644591	408385	226702	147825	114120	93561	84731	75836	67991	64732	61423	57106	55553	52033	50970	51395	48270	46688	44972	43587	43146	42200	40966	40347	39438	38700	38370	45026	39500	36716	35425	37821	37136	34336	35121	35595	37290	33827
D10	Sample X46	1354618	1456051	1522712	1554208	1555310	1524968	1467901	1382241	1288821	1155173	1017460	838626	648453	427377	233942	141802	102857	90961	79451	69057	64530	60871	59508	54061	55592	50657	49770	48408	45663	45773	44223	41395	43081	42752	40306	40508	37675	37515	36242	37785	35951	35778	34833	33662	38087	33166	31356	31656	32418	31128
D11	Sample X47	1377698	1469351	1520591	1557115	1541770	1495251	1417836	1312187	1186878	1044943	867807	689583	485466	264285	148285	107058	81791	69440	61445	56045	52022	50045	46732	43662	44263	41575	39622	38718	38616	36490	35102	34647	33501	32893	32750	33017	32151	30873	30116	29745	30085	28535	28508	28167	28936	29087	30276	26961	26562	26168
D12	Sample X48	1360396	1486155	1528373	1547187	1532450	1489828	1432960	1341347	1239866	1122098	987728	832767	649162	501957	422152	374525	321025	306690	256011	215148	200041	199557	189440	159283	145270	138130	136242	140162	112956	139181	131591	133208	133421	136027	138241	122515	134621	129520	126820	139313	146450	142212	146896	153507	152985	149525	162560	161583	153891	178947
